Book_No,Title,Sub_Title,Author,Translator,Class_3,Class_2,Class_1,Publisher,Year_1st_Pub,Year_This_Ed,Place,Edition_No,Pages,Keywords,ISBN,Language,Synopsis,Price,Notes,Title_XRef,Author_XRef,Medium,Size,Status,Check,Subject,
L2274,Art of Central Asia,,"Bhattacharya, Chhaya",,OS,BHA,Q2a0,Agam Prakashan,1977,1977,Delhi,1st,160,sculpture architecture ritual_items,,English,A catalogue of items and fragments of the sculpture and  crafts of central asia much Buddhist material.,,,,,Book,,,,,
2202,Ancient Arts of Central Asia,,"Rice, Tamara Talbot",,,RIC,Q2a0,Thames and Hudson,1965,1965,London,1st,288,painting sculpture,,English,Survey of Art from SouThern Russia through to India Armenia Georgia and Albania covering painting sculpture ceramics etc.,,,,,Book,,,,,
L2269,Central Asian Painting,From Afghanistan to Sinkiang,"Bussagli, Mario",Small - Lothian,OS,BUS,Q2a31,Rizzoli International Publications,1963,1979,New York,2nd,136,Silk_Route,0 8478 0198,English,Study of Asian Painting centred on the silk route.,,,,,Book,,,,,
L2270,Central Asian Painting,From Afghanistan to Sinkiang,"Bussagli, Mario",,OS,BUS,Q2a31,Macmillan London Ltd,1963,1979,London,2nd,136,Silk_Route,0 333 25318,English,Study of Asian Painting centred on the silk route.,10,,,,Book,,,,,
L3522,Angkor,The serenity of Buddhism,Boisselier et al,,OS,BOI,Q3c1,Thames and Hudson,,1993,London,,159,,,,,,,,,Book,,07/04/2004,,,
L4680,Borobudur,Prayer in Stone,Schoppert - Peter (ed.),,OS,SCH,Q3i,Editions Didier Millet,1990,1990,Paris,1st,,,2-87868-004-9,,,,,,,Book,,,,,
L2020,Ageless Borobudur,,"Kempers, A. J. Bernet",,OS,KEM,Q3i1,Servire,1976,1976,Holland (?,,288,,90-6077-553-,English,Buddhist architecture and carvings from Jarva,,,,,Book,,,,,
L4685,Borobudur,,"Frederic, Louis & Nou, Jean-Louis",,OS,FRE,Q3i2,Abbeville Press Inc,1994,1996,Paris,1st,,,0-7892-0134-8,,,,,,,Book,,,,,
L2272,Arts of Thailand,,Arts Council of Great Britain ,,,ACGB,Q3t0,The Arts council of Great Britain,1964,1964,London,,,sculpture architecture,,English,Catalogue from an exhibition at the Victoria and Albert Museum in 1964,,,,,Book,,,,,
3161,Votive Tablets In Thailand,Origin Styles and Uses,"Chirapravati, Ml Pattaratorn",,,CHI,Q3t2,Oxford University Press,1997,1997,Kuala Lump,1st,83,,9835600252,English,,,,,,Book,21,09/06/2000,,Buddhist Art & Cultu,
3239,Buddha in the Jungle (The),,"Tiyavanich, Kamala",,,TIY,Q3t9,University of Washington Press / Silkworm Books,2003,2003,Seattle,1st,69,,974-9575-27,English,,4.99,,,,Book,19,11/11/2002,,,
L4389,Buddha in the Jungle (The),,"Tiyavanich, Kamala",,,TIY,Q3t9,University of Washington Press / Silkworm Books,2003,2003,USA / Thai,,,,295983728,,,,,,,Book,,,,,
L4401,Buddha in the Jungle (The),,"Tiyavanich, Kamala",,,TIY,Q3t9,University of Washington Press / Silkworm Books,2003,2003,USA / Thai,,,,295983728,,,,,,,Book,,,,,
1870,Monkey Subdues the White-Bone Demon,,"Hsing-Pei, Wang (Adapted By)",,,HSI,Q4a8,Foreign Languages Press,1964,1975,Peking,,110,,,English,Illustrated story book,,,,,Book,,,,,
L4669,Dunhuang Caves,,"Duan, Wenjie",Loveless P.,OS,DUA,Q4c,Chinese,,,,,,,,,,,,,,Book,,,,,
